"","Acc_x","Acc_y","Acc_z","Mag_x","Mag_y","Mag_z","Date","Hours","Minutes","Seconds","Pitch.angle","ODBA","VeDBA","Event.no.","DateTime","Behaviours"
"123",0.839844,-0.21582,0.971924,-0.398193,0.607422,0.643066,"27/2/2019",15,23,49,-40.1495628998932,0.763184,0.602783,342609,2019-02-27 15:23:49,"NA"
"124",0.779785,-0.203857,0.947998,-0.397217,0.605469,0.643311,"27/2/2019",15,23,49,-38.8054238192411,0.655273,0.526367,342610,2019-02-27 15:23:49,"NA"
"125",0.731934,-0.191895,0.911865,-0.395264,0.601807,0.643799,"27/2/2019",15,23,49,-38.1487029043889,0.547607,0.459229,342611,2019-02-27 15:23:49,"NA"
"126",0.719971,-0.179932,0.851807,-0.39502,0.602295,0.644287,"27/2/2019",15,23,49,-39.5900367050231,0.475098,0.426514,342612,2019-02-27 15:23:49,"NA"
"127",0.695801,-0.131836,0.791992,-0.394775,0.603027,0.644775,"27/2/2019",15,23,49,-40.9128817954046,0.467041,0.393311,342613,2019-02-27 15:23:49,"NA"
"128",0.683838,-0.0839844,0.815918,-0.394287,0.60376,0.645508,"27/2/2019",15,23,49,-39.8185074755637,0.475098,0.379883,342614,2019-02-27 15:23:49,"NA"
"129",0.647949,-0.167969,0.791992,-0.393555,0.605225,0.646729,"27/2/2019",15,23,49,-38.6711425344697,0.357666,0.318848,342615,2019-02-27 15:23:49,"NA"
"130",0.575928,-0.179932,0.827881,-0.394775,0.604736,0.644775,"27/2/2019",15,23,49,-34.2076605735165,0.257324,0.234131,342616,2019-02-27 15:23:49,"NA"
"131",0.539795,-0.203857,0.779785,-0.395996,0.604248,0.642822,"27/2/2019",15,23,49,-33.8113236092845,0.233154,0.188477,342617,2019-02-27 15:23:49,"NA"
"132",0.527832,-0.21582,0.755859,-0.397217,0.60376,0.640869,"27/2/2019",15,23,49,-33.8807631041404,0.245605,0.172363,342618,2019-02-27 15:23:49,"NA"
"133",0.503906,-0.203857,0.719971,-0.399902,0.602539,0.636719,"27/2/2019",15,23,49,-33.9572421383943,0.233887,0.155029,342619,2019-02-27 15:23:49,"NA"
"134",0.47998,-0.203857,0.719971,-0.400879,0.604004,0.636475,"27/2/2019",15,23,49,-32.6780777351759,0.197754,0.12793,342620,2019-02-27 15:23:49,"NA"
"135",0.47998,-0.21582,0.707764,-0.401855,0.605469,0.63623,"27/2/2019",15,23,49,-32.9705079024393,0.20874,0.131592,342621,2019-02-27 15:23:49,"NA"
"136",0.47998,-0.203857,0.683838,-0.403076,0.606934,0.635986,"27/2/2019",15,23,49,-33.9263321462012,0.208252,0.143311,342622,2019-02-27 15:23:49,"NA"
"137",0.491943,-0.203857,0.719971,-0.405273,0.609863,0.635498,"27/2/2019",15,23,49,-33.322353277256,0.171631,0.111816,342623,2019-02-27 15:23:49,"NA"
"138",0.491943,-0.203857,0.767822,-0.405273,0.609131,0.635498,"27/2/2019",15,23,49,-31.7676748087842,0.111084,0.0673828,342624,2019-02-27 15:23:49,"NA"
"139",0.467773,-0.167969,0.851807,-0.405518,0.608154,0.635498,"27/2/2019",15,23,49,-28.3148362441448,0.0639648,0.0429688,342625,2019-02-27 15:23:49,"NA"
"140",0.491943,-0.155762,0.827881,-0.405762,0.607178,0.635498,"27/2/2019",15,23,49,-30.2837917816426,0.0625,0.0373535,342626,2019-02-27 15:23:49,"NA"
"141",0.515869,-0.179932,0.815918,-0.40625,0.605225,0.635498,"27/2/2019",15,23,49,-31.6920489212995,0.0358887,0.0317383,342627,2019-02-27 15:23:49,"NA"
"142",0.527832,-0.191895,0.827881,-0.405273,0.604736,0.635498,"27/2/2019",15,23,49,-31.8445485496392,0.0510254,0.0339355,342628,2019-02-27 15:23:49,"NA"
"143",0.527832,-0.179932,0.827881,-0.404297,0.604248,0.635498,"27/2/2019",15,23,49,-31.9239302364435,0.0310059,0.020752,342629,2019-02-27 15:23:49,"NA"
"144",0.515869,-0.179932,0.827881,-0.403076,0.60376,0.635498,"27/2/2019",15,23,49,-31.3374157059126,0.0158691,0.00952148,342630,2019-02-27 15:23:49,"NA"
"145",0.527832,-0.155762,0.803955,-0.400879,0.602539,0.635498,"27/2/2019",15,23,49,-32.8041386614943,0.0507813,0.032959,342631,2019-02-27 15:23:49,"NA"
"146",0.575928,-0.191895,0.827881,-0.400391,0.603271,0.63623,"27/2/2019",15,23,49,-34.1254177822044,0.0456543,0.0339355,342632,2019-02-27 15:23:49,"NA"
"147",0.599854,-0.191895,0.839844,-0.399658,0.604248,0.636963,"27/2/2019",15,23,49,-34.8494892996152,0.0695801,0.0490723,342633,2019-02-27 15:23:49,"NA"
